Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,18.000,5.94,,,,Angel,Tincture,Tincture,,REC,1bb49579-7c34-48cb-a608-b4db2eee66ac,Tincture - Angel - 1000mg Flavorless THC,de81f202-88c5-4f80-bdb8-e46de344f0ba,,,$30.00,$540.00,$12.00,$216.00,Zo6HoQyIEG,0.33,FluidOunces,each,09/04/2025 10:58:46 AM,,,98bc125b-4496-4ceb-9f27-ec96f16cb4ef,,,08-05-25-1k-10mlTHCNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000068671,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,,,REC,b381d06f-3d2e-4c78-8666-c939d57d2ef9,Tincture - Angel 1:1 - ...ZZZ Formula 1000THC : 1000CBN,2f853ba0-671c-4378-83ee-9a854f527e12,,,$60.00,$300.00,$27.00,$135.00,850012090618,1.0,FluidOunces,each,07/22/2025 12:48:12 PM,,,3eb993e1-1750-4d22-a896-ae5ac77b9436,,,07-01-25-1:1ZZZTHC/CBNNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000066703,,,,,,,,,,020-10076057F6D,Spyglass Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,0,Angel,Tincture,,,REC,b381d06f-3d2e-4c78-8666-c939d57d2ef9,Tincture - Angel 1:1 - ...ZZZ Formula 1000THC : 1000CBN,2f853ba0-671c-4378-83ee-9a854f527e12,,,$60.00,$60.00,$27.00,$27.00,kyN6NNa4Sr,1.0,FluidOunces,each,07/03/2025 09:55:03 AM,,,d65c16da-bb5d-45ef-8c7e-74a5ba8537c5,,,010325-1:1zzzTHC/CBNNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000065639,,,,,,,,,,020-1007105ECC8,"JJ Farms Oregon, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,0,Angel,Tincture,Tincture,,REC,51f13ba2-7f1f-4729-8101-54e36fa198a0,Tincture - Angel 1:1 - ...ZZZ Formula 1500CBD : 1500CBN,16092849-98b1-4601-9082-51fe60a9043d,,,$65.00,$130.00,$25.00,$50.00,850012090090,1.0,FluidOunces,each,05/29/2025 11:00:46 AM,,,bdfa06f5-62b7-4004-ae03-61a6420b2fa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000064305,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,Tincture,,REC,51f13ba2-7f1f-4729-8101-54e36fa198a0,Tincture - Angel 1:1 - ...ZZZ Formula 1500CBD : 1500CBN,16092849-98b1-4601-9082-51fe60a9043d,,,$65.00,$325.00,$25.00,$125.00,vFG742e30f,1.0,FluidOunces,each,08/28/2025 12:59:22 PM,,,fc8f26a9-b6c5-4c74-b699-5799cc9dba9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068472,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.31,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,0,Angel,Tincture,,,REC,aeebc992-bdb3-408b-aa6c-e3870b1c2165,Tincture - Angel Hemp - 1500mg CBD - FLAVORLESS,1ae8d767-6036-4530-bbbb-911765fde4fc,,,$30.00,$30.00,$13.00,$13.00,850012090007,1.0,FluidOunces,each,07/22/2025 12:48:49 PM,,,2a9772f1-e0bd-416c-8bc0-78e4ea995459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000066704,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.215,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,5.000,5,,,0,Angel,Tincture,,,REC,c8de54d5-dd58-4516-807f-bbba6fa18058,Tincture - Angel Hemp - 1500mg CBD - LEMON GINGER,9a33f61c-25c8-4288-b4d2-2fd7510bcb5d,,,$30.00,$150.00,$13.00,$65.00,850012090069,1.0,FluidOunces,each,08/20/2025 10:02:14 AM,,,7b859d66-7971-41ee-8df6-64c4da6d7f48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068014,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,0,Angel,Tincture,,,REC,00904e16-d910-44cd-8837-bc9d8f8703d6,Tincture - Angel Hemp - 1500mg CBD - PEPPERMINT,1f9b6fef-0a94-4b0c-aefe-858bda5f2175,,,$30.00,$60.00,$13.00,$26.00,850012090038,1.0,FluidOunces,each,03/05/2025 10:44:09 AM,,,46fedf8e-eebc-4c41-9307-70596ba10f16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000060515,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,,,REC,00904e16-d910-44cd-8837-bc9d8f8703d6,Tincture - Angel Hemp - 1500mg CBD - PEPPERMINT,1f9b6fef-0a94-4b0c-aefe-858bda5f2175,,,$30.00,$150.00,$13.00,$65.00,fVqk716z1i,1.0,FluidOunces,each,06/12/2025 09:44:28 AM,,,5823efdf-8453-4da3-b496-30ed9e3c4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000064844,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,0,Angel,Tincture,,,REC,e6ac69e7-2a14-42e1-90b9-8784faa319a8,Tincture - Angel Hemp - 3000mg CBD - FLAVORLESS,e08342b0-e0f2-4769-92e9-24c2ba5fe374,,,$30.00,$60.00,$20.00,$40.00,850012090014,1.0,FluidOunces,each,07/22/2025 12:47:47 PM,,,5c66e264-7fe6-4e79-b4b5-31e8f72aab33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000066705,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,10.62,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
