Category,Store,Room,Quantity,Calculated Weight,Last Audit Date,Last Audit Quantity,Par Level,Brand,Product Type,Variant Type,Product Metadata,Med or Rec,Product Id,Product Name,Variant Id,Variant Name,Price Profile Name,Price,Total Price,Cost,Total Cost,SKU,Weight,Weight Unit of Measure,Reporting Unit of Measure,Created At,Inventory Notes,Last Discrepancy At,Inventory Id,Allergens,Batch Date,Batch Number,Cultivator License,Cultivator Name,Delay of Effects,Directions for Administration,ERP ID,ERP Name,Expiration Date,Extraction Method,Growth Method,Harvest Date,Ingredients,Invoice,Is Child-Resistant,Is Inhalable,Is Tamper-Evident,Is Tested,Manifest ID,Manufactured Date,MMUR Order Type,Notes,# of Seeds,# of Servings,Packaged By,Packaged Date,Paper Weight,Plant Count,Production Run Number,Registration Number,Regulatory ID,Requires Refrigeration,Secondary Supplier Licenses,Serving Size / Dosage,Solvents Used,Source Label,Storage Requirements,Strain Name,Strain Species,Supplier Address,Supplier License,Supplier Name,Supplier Phone,Tested By,Tested Date,Testing URL,Test Lot Number,Third-Party Display Name,Use By Date,Weight with Paper,% CBC,% CBC Range,% CBCV,% CBCV Range,% CBCa,% CBCa Range,% CBD,% CBD Range,% CBD-A,% CBD-A Range,% CBDV,% CBDV Range,% CBDVa,% CBDVa Range,% CBG,% CBG Range,% CBGa,% CBGa Range,% CBL,% CBL Range,% CBLa,% CBLa Range,% CBN,% CBN Range,% CBT,% CBT Range,% THC,% THC Range,% THC-A,% THC-A Range,% THCV,% THCV Range,% THCVa,% THCVa Range,% Total Active Cannabinoids (TAC),% delta-8 THC,% delta-8 THC Range,3-Carene,Borneol,Camphene,Camphor,Carvacrol,Carvone,Caryophyllene Oxide,Cedrol,Cis-Nerolidol,Cis-Ocimene,Citral,Eucalyptol,Farnesene,Farnesol isomer 1,Farnesol isomer 2,Fenchol,Fenchone,Gamma Terpinene,Geraniol,Geranyl Acetate,Grams of Concentrate,Grams of Flower,Guaiol,"High THC, Low CBD",Isoborneol,Isopulegol,Limonene,Linalool,"Low THC, High CBD",Menthol,Menthone,Mg CBC,Mg CBCV,Mg CBCa,Mg CBD,Mg CBD-A,Mg CBDV,Mg CBDVa,Mg CBG,Mg CBGa,Mg CBL,Mg CBLa,Mg CBN,Mg CBT,Mg THC,Mg THC-A,Mg THCV,Mg THCVa,Mg delta-8 THC,"Moderate THC, Moderate CBD",Nerol,Nootkatone,Octyl Acetate,Phytane,Piperitone,Pulegone,Sabinene,Sabinene Hydrate,Safranal,Squalene,Terpinen-4-ol,Terpineol,Terpinolene,Thymol,Total % THC,Total Terpenes,Total Terpenoids,Trans-Nerolidol,Trans-Ocimene,Valencene,Verbenone,m-Cymene,o-Cymene,p-Cymene,trans-β-Farnesene,α-Bisabolol,α-Cedrene,α-Humulene,α-Phellandrene,α-Pinene,α-Terpinene,α-Terpineol,α-Thujone,β-Caryophyllene,β-Myrcene,β-Ocimene,β-Pinene,γ-Terpinene,δ 3-Carene,δ-Limonene
Hemp,Today's Herbal Choice | Forest Grove,Sales Floor FG,4.000,4,,,,Angel,AIO - 2:1 CBG:CBD,AIO - 2:1 CBG:CBD,,REC,f3a0d7d4-bde0-4d37-b849-678e0cbbb4bd,AIO - 1g Angel Zoom CBG:CBD - Lindorea,a5033d40-02db-406b-ae0a-6bcc4341ebff,,,$40.00,$160.00,$16.33,$65.32,OnSE5393nx,1,Grams,each,09/30/2025 01:32:26 PM,,,9b2e3a25-55c5-4994-9c85-808596ab0934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070012,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,21.43,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Forest Grove,Hold Safe FG,50.000,460,,,,Angel,Gummy - CBG ONLY,Gummy - CBG ONLY,,REC,5eb3785b-e351-477e-83da-4659b2cc0c43,*Gummy - 100mg CBG Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,84cd45c2-4843-488e-ba7c-293d3ba245df,,,$4.80,$240.00,$2.00,$100.00,1TEIpkTuOo,9.2,Grams,each,10/15/2025 11:01:31 PM,,,02004ef0-61f3-489c-b8e2-ec41278da867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070645,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Forest Grove,Sales Floor FG,8.000,73.6,,,,Angel,Gummy - CBG ONLY,Gummy - CBG ONLY,,REC,5eb3785b-e351-477e-83da-4659b2cc0c43,*Gummy - 100mg CBG Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,84cd45c2-4843-488e-ba7c-293d3ba245df,,,$4.80,$38.40,$2.00,$16.00,860001165388,9.2,Grams,each,09/30/2025 08:53:10 PM,,10/15/2025 08:37:53 PM,fcddf05f-e910-4e93-91bf-628038d56d10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070010,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Sales Floor FG,11.000,101.2,,,0,Angel,Gummy,Gummy,,REC,00ffc6c1-aa54-47d1-b064-ff9736ff7eb0,!*Gummy - 100mg THC Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,d47c7c71-bd16-47e5-9b1a-281bf24fcb20,,,$4.00,$44.00,$2.00,$22.00,860001165371,9.2,Grams,each,08/28/2025 06:41:14 PM,,10/15/2025 08:38:14 PM,32dc3ffa-d6a7-4638-954d-ea69de39f5b4,,,8498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068498,,,,,,,,,,020-10238779A1B,Indica Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Hold Safe FG,50.000,460,,,0,Angel,Gummy,Gummy,,REC,00ffc6c1-aa54-47d1-b064-ff9736ff7eb0,!*Gummy - 100mg THC Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,d47c7c71-bd16-47e5-9b1a-281bf24fcb20,,,$4.00,$200.00,$2.00,$100.00,t4jkk2j28M,9.2,Grams,each,10/15/2025 10:50:57 PM,,,43a87c6e-1747-4469-88c7-8c15ba1812cc,,,0640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070640,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Sales Floor FG,5.000,46,,,0,Angel,Gummy,Gummy,,REC,6f0d0c0c-18be-4447-a43a-b5fc938b5836,!*Gummy - 100mg THC Blossom - Peach - GREEN LEAF SPECIAL,7fe0ac51-33e0-463f-8c6c-84191f16bfe8,,,$4.00,$20.00,$2.00,$10.00,ALBGNIsJyB,9.2,Grams,each,09/30/2025 08:40:35 PM,,10/20/2025 06:43:46 PM,0258be62-516a-47d8-984b-145d75fa7c18,,,0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070009,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Hold Safe FG,50.000,460,,,0,Angel,Gummy,Gummy,,REC,6f0d0c0c-18be-4447-a43a-b5fc938b5836,!*Gummy - 100mg THC Blossom - Peach - GREEN LEAF SPECIAL,7fe0ac51-33e0-463f-8c6c-84191f16bfe8,,,$4.00,$200.00,$2.00,$100.00,850012090335,9.2,Grams,each,10/15/2025 10:44:15 PM,,,f9975a80-e9de-4246-9a14-621b6bd32269,,,0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070644,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Sales Floor FG,40.000,368,,,0,Angel,Gummy,Gummy,,REC,148e5d08-1996-49d1-97d7-7c3d4a3a3f5d,!*Gummy - 100mg THC Blossom - Strawberry - GREEN LEAF SPECIAL,0bf4ffdb-9aec-4820-8c6a-1c5712aa658e,,,$4.00,$160.00,$2.00,$80.00,850012090342,9.2,Grams,each,09/30/2025 08:23:12 PM,,,5414a798-8a0a-45d0-9aed-f43e7f5478ff,,,0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070015,,,,,,,,,,020-1006644C9FB,Dream Girl Cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Sales Floor FG,13.000,119.6,,,,Angel,Gummy,Gummy,,REC,23a746ad-3c72-47db-a7b4-90524079f230,!*Gummy - 100mg THC Blossom - Tart Cherry - GREEN LEAF SPECIAL,72bc7505-990f-4608-b070-6b326ccc8bbb,,,$4.00,$52.00,$2.00,$26.00,850012090328,9.2,Grams,each,10/01/2025 10:10:25 AM,,10/20/2025 07:09:10 PM,215d5f74-b133-4fa9-a9cd-d2e51632faad,,,0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070008,,,,,,,,,,020-100758249F3,"Waterwheel Ventures, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Hold Safe FG,50.000,460,,,,Angel,Gummy,Gummy,,REC,23a746ad-3c72-47db-a7b4-90524079f230,!*Gummy - 100mg THC Blossom - Tart Cherry - GREEN LEAF SPECIAL,72bc7505-990f-4608-b070-6b326ccc8bbb,,,$4.00,$200.00,$2.00,$100.00,Wwzap6xMLY,9.2,Grams,each,10/15/2025 10:47:17 PM,,,ca009962-8285-492d-b795-0d66d5961af7,,,0641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070641,,,,,,,,,,020-1004870BBFA,Healing Farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edibles (Solid),Today's Herbal Choice | Forest Grove,Sales Floor FG,20.000,184,,,,Angel,Gummy,Gummy,,REC,2cb9df58-d19f-45b8-94f2-81c2e89db1a9,*Gummy - 25mg 1:1:1:1 Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,d4055474-ec60-4dfd-8835-814d8b9c9133,,,$4.00,$80.00,$2.00,$40.00,860001165364,9.2,Grams,each,10/15/2025 11:23:09 PM,,,8c4b4336-2cc2-4fe8-a606-43397b9e6333,,,0639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070639,,,,,,,,,,020-1002355DD81,Gong-Ji Farm LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,25,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Forest Grove,Hold Safe FG,25.000,230,,,,Angel,Gummy CBD CBG CBN Only,Gummy CBD CBG CBN Only,,REC,c2cf11a5-a33a-4e65-b1c0-a33038e62736,*Gummy - 33mg 1:1:1  Blossom - Blueberry Lemonade - GREEN LEAF SPECIAL,8d049924-2e4f-4a73-ab21-1630f2513ae2,,,$4.80,$120.00,$2.00,$50.00,850012090649,9.2,Grams,each,10/15/2025 11:17:54 PM,,,7c64f2c3-fadf-4d10-81a8-907352f93395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070646,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
