Category,Store,Room,Quantity,Calculated Weight,Last Audit Date,Last Audit Quantity,Par Level,Brand,Product Type,Variant Type,Product Metadata,Med or Rec,Product Id,Product Name,Variant Id,Variant Name,Price Profile Name,Price,Total Price,Cost,Total Cost,SKU,Weight,Weight Unit of Measure,Reporting Unit of Measure,Created At,Inventory Notes,Last Discrepancy At,Inventory Id,Allergens,Batch Date,Batch Number,Cultivator License,Cultivator Name,Delay of Effects,Directions for Administration,ERP ID,ERP Name,Expiration Date,Extraction Method,Growth Method,Harvest Date,Ingredients,Invoice,Is Child-Resistant,Is Inhalable,Is Tamper-Evident,Is Tested,Manifest ID,Manufactured Date,MMUR Order Type,Notes,# of Seeds,# of Servings,Packaged By,Packaged Date,Paper Weight,Plant Count,Production Run Number,Registration Number,Regulatory ID,Requires Refrigeration,Secondary Supplier Licenses,Serving Size / Dosage,Solvents Used,Source Label,Storage Requirements,Strain Name,Strain Species,Supplier Address,Supplier License,Supplier Name,Supplier Phone,Tested By,Tested Date,Testing URL,Test Lot Number,Third-Party Display Name,Use By Date,Weight with Paper,% CBC,% CBC Range,% CBCV,% CBCV Range,% CBCa,% CBCa Range,% CBD,% CBD Range,% CBD-A,% CBD-A Range,% CBDV,% CBDV Range,% CBDVa,% CBDVa Range,% CBG,% CBG Range,% CBGa,% CBGa Range,% CBL,% CBL Range,% CBLa,% CBLa Range,% CBN,% CBN Range,% CBT,% CBT Range,% THC,% THC Range,% THC-A,% THC-A Range,% THCV,% THCV Range,% THCVa,% THCVa Range,% Total Active Cannabinoids (TAC),% delta-8 THC,% delta-8 THC Range,3-Carene,Borneol,Camphene,Camphor,Carvacrol,Carvone,Caryophyllene Oxide,Cedrol,Cis-Nerolidol,Cis-Ocimene,Citral,Eucalyptol,Farnesene,Farnesol isomer 1,Farnesol isomer 2,Fenchol,Fenchone,Gamma Terpinene,Geraniol,Geranyl Acetate,Grams of Concentrate,Grams of Flower,Guaiol,"High THC, Low CBD",Isoborneol,Isopulegol,Limonene,Linalool,"Low THC, High CBD",Menthol,Menthone,Mg CBC,Mg CBCV,Mg CBCa,Mg CBD,Mg CBD-A,Mg CBDV,Mg CBDVa,Mg CBG,Mg CBGa,Mg CBL,Mg CBLa,Mg CBN,Mg CBT,Mg THC,Mg THC-A,Mg THCV,Mg THCVa,Mg delta-8 THC,"Moderate THC, Moderate CBD",Nerol,Nootkatone,Octyl Acetate,Phytane,Piperitone,Pulegone,Sabinene,Sabinene Hydrate,Safranal,Squalene,Terpinen-4-ol,Terpineol,Terpinolene,Thymol,Total % THC,Total Terpenes,Total Terpenoids,Trans-Nerolidol,Trans-Ocimene,Valencene,Verbenone,m-Cymene,o-Cymene,p-Cymene,trans-β-Farnesene,α-Bisabolol,α-Cedrene,α-Humulene,α-Phellandrene,α-Pinene,α-Terpinene,α-Terpineol,α-Thujone,β-Caryophyllene,β-Myrcene,β-Ocimene,β-Pinene,γ-Terpinene,δ 3-Carene,δ-Limonene
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,3.000,10.14,,,0,Angel,Lotion,Lotion,,REC,b72f2520-d16c-48a6-853c-e0cac7ba475c,*Lotion - Ease Balanced Relief Lotion - 1000mg 1:1 CBD:CBG - GREEN LEAF SPECIAL,26888b0b-61ce-475a-859c-b52548cb63cd,,,$50.00,$150.00,$20.00,$60.00,iVTNsUcztK,3.38,FluidOunces,each,09/04/2025 10:58:47 AM,,,c02e2215-58c7-49d3-9146-02ea0d997420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068673,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1159.52,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topicals,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,,,,,Angel,Roll-On,Roll-On,,REC,d8cb8628-ee37-4e12-8114-c6ce9f1cbe79,Roll On - Angel Ease 1:1 - CBD/THC,f971b000-e0bc-44cf-9310-03e630c31c77,,,$45.00,$90.00,$15.00,$30.00,afOYz2shUO,,,each,08/06/2025 02:02:01 AM,,,533ddb9a-5b40-4886-a5fe-b9f14ef884b1,,,04-02-2025-roll-ons THC:CBD NC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000067345,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,9.000,2.97,,,,Angel,Tincture,Tincture,,REC,1bb49579-7c34-48cb-a608-b4db2eee66ac,Tincture - Angel - 1000mg Flavorless THC,de81f202-88c5-4f80-bdb8-e46de344f0ba,,,$30.00,$270.00,$12.00,$108.00,aFtNZGYhBb,0.33,FluidOunces,each,09/21/2025 11:25:16 AM,,,2da4779f-3ecb-4400-9628-f451dc17fbf2,,,08-05-25-1k-10mlTHCNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000069486,,,,,,,,,,020-1002355DD81,Gong-Ji Farm LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Hold Safe Rainier,20.000,6.6,,,,Angel,Tincture,Tincture,,REC,1bb49579-7c34-48cb-a608-b4db2eee66ac,Tincture - Angel - 1000mg Flavorless THC,de81f202-88c5-4f80-bdb8-e46de344f0ba,,,$30.00,$600.00,$12.00,$240.00,158hVYqggL,0.33,FluidOunces,each,09/30/2025 12:26:37 PM,,,75d1a263-ad88-4d1e-9039-77edb5b23828,,,08-05-25-1k-10mlTHCNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000070068,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,,,REC,b381d06f-3d2e-4c78-8666-c939d57d2ef9,Tincture - Angel 1:1 - ...ZZZ Formula 1000THC : 1000CBN,2f853ba0-671c-4378-83ee-9a854f527e12,,,$60.00,$300.00,$27.00,$135.00,850012090618,1.0,FluidOunces,each,07/22/2025 12:48:12 PM,,,3eb993e1-1750-4d22-a896-ae5ac77b9436,,,07-01-25-1:1ZZZTHC/CBNNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000066703,,,,,,,,,,020-10076057F6D,Spyglass Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinctures,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,0,Angel,Tincture,,,REC,b381d06f-3d2e-4c78-8666-c939d57d2ef9,Tincture - Angel 1:1 - ...ZZZ Formula 1000THC : 1000CBN,2f853ba0-671c-4378-83ee-9a854f527e12,,,$60.00,$60.00,$27.00,$27.00,kyN6NNa4Sr,1.0,FluidOunces,each,07/03/2025 09:55:03 AM,,,d65c16da-bb5d-45ef-8c7e-74a5ba8537c5,,,010325-1:1zzzTHC/CBNNC,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,1A401030000AAB8000065639,,,,,,,,,,020-1007105ECC8,"JJ Farms Oregon, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,0,Angel,Tincture,Tincture,,REC,51f13ba2-7f1f-4729-8101-54e36fa198a0,Tincture - Angel 1:1 - ...ZZZ Formula 1500CBD : 1500CBN,16092849-98b1-4601-9082-51fe60a9043d,,,$65.00,$130.00,$25.00,$50.00,850012090090,1.0,FluidOunces,each,05/29/2025 11:00:46 AM,,,bdfa06f5-62b7-4004-ae03-61a6420b2fa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000064305,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,Tincture,,REC,51f13ba2-7f1f-4729-8101-54e36fa198a0,Tincture - Angel 1:1 - ...ZZZ Formula 1500CBD : 1500CBN,16092849-98b1-4601-9082-51fe60a9043d,,,$65.00,$325.00,$25.00,$125.00,vFG742e30f,1.0,FluidOunces,each,08/28/2025 12:59:22 PM,,,fc8f26a9-b6c5-4c74-b699-5799cc9dba9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068472,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,4.85,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.31,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,0,Angel,Tincture,,,REC,aeebc992-bdb3-408b-aa6c-e3870b1c2165,Tincture - Angel Hemp - 1500mg CBD - FLAVORLESS,1ae8d767-6036-4530-bbbb-911765fde4fc,,,$30.00,$30.00,$13.00,$13.00,850012090007,1.0,FluidOunces,each,07/22/2025 12:48:49 PM,,,2a9772f1-e0bd-416c-8bc0-78e4ea995459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000066704,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.215,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Hold Safe Rainier,5.000,5,,,0,Angel,Tincture,,,REC,aeebc992-bdb3-408b-aa6c-e3870b1c2165,Tincture - Angel Hemp - 1500mg CBD - FLAVORLESS,1ae8d767-6036-4530-bbbb-911765fde4fc,,,$30.00,$150.00,$13.00,$65.00,siZu5cetb5,1.0,FluidOunces,each,09/30/2025 12:26:38 PM,,,c8355424-2816-48d3-8dc6-d76665b8f7bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000070070,,,,,,,,,,060-1003632ACAB,ABC1,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.78,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,2.000,2,,,0,Angel,Tincture,,,REC,aeebc992-bdb3-408b-aa6c-e3870b1c2165,Tincture - Angel Hemp - 1500mg CBD - FLAVORLESS,1ae8d767-6036-4530-bbbb-911765fde4fc,,,$30.00,$60.00,$13.00,$26.00,0R33UWK0I,1.0,FluidOunces,each,09/20/2025 10:32:00 AM,,,daea6b2b-7bd3-41c5-8217-513ee7f84eda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000069491,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.215,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1542.26,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,5.000,5,,,0,Angel,Tincture,,,REC,c8de54d5-dd58-4516-807f-bbba6fa18058,Tincture - Angel Hemp - 1500mg CBD - LEMON GINGER,9a33f61c-25c8-4288-b4d2-2fd7510bcb5d,,,$30.00,$150.00,$13.00,$65.00,850012090069,1.0,FluidOunces,each,08/20/2025 10:02:14 AM,,,7b859d66-7971-41ee-8df6-64c4da6d7f48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000068014,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.4,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Hemp,Today's Herbal Choice | Rainier,Sales Floor Rainier,1.000,1,,,0,Angel,Tincture,,,REC,00904e16-d910-44cd-8837-bc9d8f8703d6,Tincture - Angel Hemp - 1500mg CBD - PEPPERMINT,1f9b6fef-0a94-4b0c-aefe-858bda5f2175,,,$30.00,$30.00,$13.00,$13.00,850012090038,1.0,FluidOunces,each,03/05/2025 10:44:09 AM,,,46fedf8e-eebc-4c41-9307-70596ba10f16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1A401030000AAB8000060515,,,,,,,,,,030-1013712DE7C,Angel1,,,,,,,,,,,,,,,5.29,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
